word,meaning
state,"n. 州, 国, 情形, 状态
adj. 国家的, 州的, 正式的
vt. 说, 陈述, 声明, 规定"
statement," n. 声明, 陈述"
form," n. 形式, 形状, 表格
v. 形成, 组成, 建立"
reform," n. 改革,改正,感化
vt. 改革,改正,使悔改
vi. 改良,悔改"
plant," n. 植物，设施，设备，工厂
v. 种植，建立，设立"
plantation, n. 种植园，大农场，殖民地
transplant," vt. 移居, 移栽(植物), 移植(器官)
vi. 能经得住移植
n. 移植, 被移植的事物"
mention," vt.提到，说起； 提名表扬
n.提及"
century, n. 世纪，一百年，成百的东西
author," n. 作者,创造者
vt. 创造,写作"
authority, n. 权威；权力；当局
species," n. [生物] 物种；种类
adj. 物种上的"
subspecies, n. 亚种
art," adj. 美术(品)的,艺术(品)的
n. 艺术, 技术, 阴谋, 美术"
produce," n. 产品, 农作物
vt. 生产, 提出, 引起, 分娩, 制片
vi. 生产, 制造"
production," n. 生产,产品,产量,作品,成果"
product," n. 产品,成果,乘积"
reproduction," n. 再现, 复制, 生殖，幼树"
reproduce," v. 再生, 复制, 生殖"
productivity," n. 生产率, 生产能力"
productive, adj. 能生产的；有生产价值的；多产的；有效率的
reproductive," adj. 复制的, 生殖的
n. （尤指群居昆虫的）母体"
increase," v. 增加, 提高
n. 增加, 增强, 提高"
cause," n. 原因；事业；目标
vt. 引起；使遭受"
region," n. 地区,地域,地带,行政区"
sentence," n. 句子,意见,宣判,刑罚,命题
vt. 宣判,判决,使遭受"
population, n. 人口
study," n. 学习,研究,学科,沉思,书房
vt. 读书,计划,研究,记忆,调查
vi. 学习,研究,沉思"
fossil," adj. 化石的
n. 化石,食古不化的人,过时的词"
fossilize," vt. 使成化石，使陈腐
vi. 变成化石，变陈腐，固定化"
theory," n. 理论,原则,看法,推测"
theorist, n. 理论家
theorize, v. 推理，建立理论，（使）理论化
term," n.学期； 条款； 术语； 期限
vt.把…称为； 把…叫做"
artist," n. 艺术家, 美术家, 艺人"
artistic, adj. 艺术的
design," vt.& vi.设计； 绘制
vt.设计； 计划； 企图； 决意（做）
n.设计； 图案； 结构； 计划
vi.设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思"
designer, n. 设计者
source, n. 来源
environment," n. 环境,外界"
environmentalist, n. 环保人士，环境论者
period," n. 学时, 课时; 一段时间, 时期, 周期; 句号"
periodic," adj. 周期的, 定期的，间歇的，完句的"
periodically, adv. 周期性地，定期地
